time,open,high,low,close,volume,spread,real_volume
2016-12-02,745.72,772.05,744.75,762.63,37691,0,0
2016-12-05,755.06,756.21,737.22,743.88,26801,0,0
2016-12-06,743.87,753.76,742.0,752.98,14411,0,0
2016-12-07,752.97,763.78,745.86,758.76,30051,0,0
2016-12-08,758.51,766.01,756.19,760.57,17581,0,0
2016-12-09,760.78,767.51,760.31,763.81,11371,0,0
2016-12-12,762.59,772.99,762.59,771.5,11891,0,0
2016-12-13,771.51,783.49,759.54,769.16,76273,0,0
2016-12-14,769.5,774.98,764.86,771.06,101164,0,0
2016-12-15,771.07,773.07,767.93,769.23,72044,0,0
2016-12-16,769.24,776.43,765.47,773.67,96211,0,0
2016-12-19,782.5,788.35,781.31,785.02,76084,0,0
2016-12-20,785.01,796.52,781.63,792.74,81004,0,0
2016-12-21,793.44,827.99,790.89,826.73,161384,0,0
2016-12-22,826.52,869.0,821.32,853.45,255624,0,0
2016-12-23,853.44,907.14,853.28,887.65,296221,0,0
2016-12-26,884.22,898.28,884.14,892.26,66462,0,0
2016-12-27,892.27,930.22,885.02,924.32,179834,0,0
2016-12-28,923.75,970.47,923.74,970.47,232774,0,0
2016-12-29,970.48,974.02,944.01,963.81,183394,0,0
2016-12-30,963.77,964.0,925.01,953.55,196311,0,0
2017-01-02,1003.94,1025.5,985.97,1005.79,223367,0,0
2017-01-03,1005.8,1032.71,994.25,1029.62,217874,0,0
2017-01-04,1029.63,1133.89,1023.13,1108.65,600544,0,0
2017-01-05,1108.64,1130.71,880.03,996.31,1204594,0,0
2017-01-06,996.25,1020.98,866.57,881.95,829531,0,0
2017-01-09,905.32,905.97,870.0,889.53,359914,0,0
2017-01-10,889.52,906.24,883.73,898.57,228744,0,0
2017-01-11,898.56,912.29,751.92,772.2,662594,0,0
2017-01-12,772.19,826.8,745.42,800.58,507154,0,0
2017-01-13,800.59,825.4,769.98,814.93,311791,0,0
2017-01-16,816.06,828.7,812.54,825.12,138624,0,0
